giakit688,cái này 15 mà nhiều người nói 30 thế
ctrnq57,hình 1 đặt rùa bằng x đá bằng y từ đó ta có  x300  y xy  330 giải phương trình x 15 y 315
tranluongquocbao,33030030 ai cãi lên phường 
phananh23122,ảnh đầu 15 ảnh sau 30
em.n1758,ai bảo 15 thì nên học lại lớp 1 nha nhìn là bt 30 r mà cứ bảo 15
kocojdau_,15 toán cấp 1 
sskngss,2 hình là 2 bài toán
trngtntrn588,hiệu 300 tổng 330 cột đá3303002 rùa3303002 toán lớp 45 gì đấy
huytua2852012,60 đúng ko
tunghanoi2,nhìn thế k biết là 30 thì nên đi học lại
theanhpt11,rùa đầu tiên 15 rùa 2 30
ngvietanh08,15 dễ mà nhỉ
thuw_la_nhat,hình 1 thì 15 hình 2 thì 30
nhatanhhoang8,gọi chiều cao rùa là x chiều cao đá là y yx300 1 yx330 2 1y300x 2 300x x330x15 1 y15300 y315 kết luận rùa 15 đá 315
0x6250...cb8b,15 và 30
trivudz,15 trẻ con cx làm đc nx nể các anh 2k17 đoán ra 30
huy610612,hình 2 thấy ai cũng 15 vậy nếu bỏ con rùa trên đá ra thì còn lại 315 có bằng bên kia là 300 nữa đâu
snminh031,gọi chiều cao con rùa là x khi đó chiều cao cả tảng đá là300x vì khi dặt con rùa lên thì thì chiều cao của cả hai là 330nên ta có ptxx300330 kq15 ykr
cocailolon1234,hình 1 30 hình 2 15
nguyn.nht3298,330x300x
dung8710,xcon rùa ytảng đá y 300x yx 330x y330xx330 xy30033030030 nể mấy ông bằng 15 thật
hogntoan,xy 300 xy330  300yy330 2y30  y15rùa  x315 đá
lehoangphuc2207,con rùa đâu ảnh hưởng tới kích thước cục đá bđầu đâu phải ra 30 chứ
user264501892,tổng hiệu  xy 330 xy  300  y15
thongkimideptraihehe,đây là bài toán đánh lừa người xem nhưng nhìn kỹ là thấynếu giải theo bài toàn tổng hiệu học từ lớp 3 sgk chương trình cũ thì ra chiều cao rùa là 15đá 315 nhé mấy anh thần đồng toán học 2k17
notnamvt9,hai hình khác nhau mà có gì khó hiểu ở đây à
abcdaa24,x rùa y đá yx300 yx330 suy ra x15
huy.dinh1801,h1 15h2 30
ebexyunichan2005,30
user6600985471858,hình 1 rùa 15 đá 315 hình 2 rùa 30 đá 330 đúng ko nhỉ
4644nh,gọi rùa là x y là đá bấm hptyx300 và xy330 là ra
binpeach96,đặt x y chi vậy nhìn hình 2 là bít cục đá là 330 rồi nên theo hình 1 thì con rùa 30
lucduy1103,2x330300 x15
tinlm213,h1 300  x y330 x y h2 300  x  y 330 x x  y x là rùa y là đá mời giải 
0trung_nguyen0,hình 1 thì con rùa là x tảng đá là y thì ta có yx300 yx330 vậy con rùa hình 1 15
thxnh1003,15 mâ
hmasdeptraivcl,30 thôi chứ j đâu
juun.d_09,3303002
kuroko169,là z nek hg bt đúng ko nha 33030030 là chiều cao của 2 con rùa mà 30÷2 15 tức là chiều cao 1 con rùa khoảng cách viên đá 30015 315 lập luận ngc lại h1 là hòn đá trừ đi 1 khoảng là độ cao con rùa tức là 31515300 đúng nek hình 2 là hòn đá cộng thêm 1 con rùa 31515300 giống nek
ttlcnnily,15  nếu con rùa 30 thì hình bên trái cục đá  330 rồi
hlinh2157,60 bởi vì là hình đầu tiên bắt đầu tính từ đầu rùa ko phải mặt đất
thanh7086,hình 1 khoản cách từ đầu rùa tới đỉnh của đá là 300 hình 2 là tổng cả chiều cao của rùa và đá là 330 vậy nên đá sẽ là 315 còn rùa sẽ là 15 vì 315 trừ 15  do tính từ đầu rùa sẽ bằng 300 tính từ
hatam.0412,30
leon.ofc12,115cm 230cm
_hanp_953,bức 1 con rủa 15 bức 2 còn rùa 30
layloi_hg90,ảnh 1 15 đá 315 ảnh 2 30 cục đá 330 ko thể sai được
_vta_163,60
papakugau,quan sát kỹ hình chiều cao khối đá đặt là x trừ đi chiều cao của con rùa đặt là y mới bằng 300 chứ k phải chiều cao khối đá bằng 300 vậy ta có xy300 và xy330 nếu là tiểu học thì đây là bài toán tổng hiệu nếu là cấp 2 hay 3 thì đây là vài toán hệ 2 phương trình cứ áp dụng mà giải thì ra khối đá cao 315 còn con rùa cao 15
anhtaxi68kg,con rùa dưới đất tao không quan tâm  con rùa trên đỉnh tảng đá cao 30cm  chắc cú luôn không thể sai được 
giaothuy110712,s t tính ra 60 ta
anhdauvecad,cái đầu 15 cái sau là 30
hayzzta,hình 2 nó còn dễ hơn hình 1 mà nhiều ng mắc sai lầm về thị giác ghê  h2 nó cho sẵn chiều cao cục đá lun r còn gì
rgm.79s.gm.sparta,cái biểu thức ở dưới tôi thấy nó là yxx330 nó ổn hơn đấy
userbulabuliemkukukackac,gọi x là chiều cao rùa 300x x 330 thì x  15
ntah.lh144,115cm 230cm
mihai_.smk,10 cm
user2kdrrya1tj,hình 2 là  x300y  330x  xy  x  30
taofanmuokchua,thật ra là 15 nhớ là từ đầu rùa chứ ko phải từ chân đá
userwyo2th5dkh,hình 1 rùa 15 hình 2 rùa 30
thucanhne1411,rùa là 15cm còn đá là 315cm
actofsevice.09,ảnh 1 rùa 15 đá 315 ảnh 2 rùa 30 đá 330
xlogand,y  x 300 y  x  330  x  15 y  315
minhde2411,hình 2 đá rùa  300 đá rùa rùa  330
nhat_trieuu,nếu bạn nào tư duy một xíu thì ko cần đi tính pt 2 ẩn đâu ạ bạn lấy 330300 nó sẽ ra chiều cao x2 lần con rùa là vì một con đứng dưới đáy một con đứng trên đỉnh 30 sẽ là chiều cao của con ở dưới cộng con ở trên nên mn chia 2 là ra được đáp án  ko quá 30s đâu ạ
trn.minh.c665,15
bpnvl_,cái này học hồi lớp 5 r  cho tổng và hiệu r thì ta có đá  3003302 315
lkminh196,ta có x300 mà x2y330do con rùa đc tính 2 lần suy ra y  15
danghuuthuc2.6,vấn đề là 2 hình có cùng 1 con rùa không nếu cùng con rùa ấy thì cùng đáp án nếu không cùng thì đáp án khác nhau thôi
atoshima2,hình 1  15 hình 2  30
khoand112003,x 300 y  x y  330 bấm máy tính là ra
npkplt,bức màu hồng rùa 15 bức màu vàng rùa 30
jinnwoo205,ab300 2ab330
anhkodepddd,đặt 2 phương trình x là rùa y là đá h1 xy300 h2 xy  330 pt1pt2  2y630  y  315 thay y vào trên x  15
1_gucci.196,2x300330
musername15022010,x là rùa y là đá ta có xy330 hay x330y ta có y300330y suy ra y315 từ đó suy ra x315330 suy ra x15
guppy_37,ảnh 1 là 15 còn ảnh 2 là 30  chắc là vậy
luongz_07,15 và 30 đều đúng cả
futureskhonnan,300       330   315   15
top_1_sv,nhìn kĩ 2 con rùa khác nhau
nghimen5,tìm 2 số khi biết tổng và hiệu số lớn bằng tổng cộng hiệu chia đôi số bé bằng tổng trừ hiệu chia đôi toán tiểu học ko cần x y này nọ phức tạp
congtu284,con đầu 15 con sau 30
vgiatu,15 hay j ak
okbabeccc,hình 1  15 hình 2  30
ppphunganh,x là chiều cao đá y là chiều cao rùa xy  330 xy  300  y y 300  330  2y 30  y 15
tftmobale,1 con 330 2 con cũng 330 nể mấy má kêu 15 
lolo0000.com,30 mà chỉ là đánh tráo khái niệm thôi 
vu_hien2802,cháu t nhìn hình còn bảo bài tổng hiệu này chú
_nm311_,mấy th tính hình 1 là 30 chắc học mới đến lớp 8 còn mấy th tính sai hình 2 lên học lại cấp 1
ndc_1998,nhìn hình đoán đại  hình 1 rùa 15  hinh 2rùa 30 
nguyencaophon,cháu nào tính ko ra 30 ra đây bác khám cho
ledamlluf7h,chuyển con rùa bên phải sang hình bên trái rùa 300rùa330  ruà rùa 33030030 rùa30215
hacxinhtu,hình 1 rùa 15cm tảng đá cao 315cm hình 2 rùa 30cm tảng đá 330cm
31757728201,t chỉ nghĩ là làm ntn mà con rùa leo lên đc tảng đá cao 315 m
miuka_readertarot,x300x300300300 2x300x330x300330 x30
sam95348,yx300 yx330  y315 x15
th.phm2242,đá là 330 rùa là 30
shizu.102,60
henrycuong.8888, h115 h230
tng36784abb,y đá x rùa tính đá hình đầuđá hình sau rùa h1 y300x330x x15 h2 y300x 330xx  x30 h2 bản chất đã cho đá bằng 330
pguc.dat,bằng 30 dễ mà
usergg1dau1me2,ảnh 115 ảnh 230
nt_mao,15
zeb.acphu,xy 300 xy330 tự tính ra thôi
nataliecute2005,30
longphan2304,hình 1 con rùa cao 15 hình 2 con rùa cao 30
y2x827,330cm
carloavveniente,748kg
dangpham210910,60
pand_anh,h1 x300y xy330 x15 h2 x300y x330yx x30
a_kanu,bức 1 thì  rùa 15cm đá 315cm bức 2 thì  rùa 30cm đá 300cm
melegomech00,nhìn bt 30 
nguynthmtuyt8,15
zeitdra,ý ad là câu khó thì tranh nhau trả lời mà câu dễ thì chẳng ai quan tâm à
totfishing2008,30
zernawncurwttao,cái này là toán cấp 1 tìm hai số khi biết tổng và hiệu của hai số đó
yuruzu1208,cục đá là 315 con rùa là 15  ảnh đầu từ đầu con rùa lên là 300 rùa 15 cục đá 315  ảnh 2 cục đá là 315 con rùa 15 330
quang12215,x đá bằng 330đá x300rùa 15dad 315
khi.khi215,60
hetaiartist_go.br,15
userakez6rrfez,30
lamdai1059,ảnh 1 từ đỉnh đầu con rùa tới đỉnh đá ảnh 2 là mất 1 con rùa ở dưới với  còn ở trên  mới bằng 30 30 chia 2 con rùa là 15
tranphong17032k4,nguyên cục đá đó là 315 rồi thằng nào khôn vào đây cãi với t 
khanhhungheheboy,gọi chiều cao con rùa là x vậy có chiều cao tản đá là x300 chiều cao con rùa tản đá là x300x hay x2300 vậy ta có pt là x2300330 x15
penaldo1100,3302x300 x15 cm
giyushino0607,ủa sao thấy thế 15 hay 30 vô đều đúng v giải cíu
duybeo2828,hình 1 gọi chiều cao của con rùa x ta có pt 330x300x 330300 2x x15vậy x15 là nghiệm của pt hình 2 gọi chiều cao con rùa là x ta có pt 300x330 x 30
unagysk14527,hình 1 15 hình 2 30
maiyeuminyoongi,toán lớp 4
psgbi,15
bvtiuhmknhat,đề 1 rùa 15 đề 2 rùa 10
tropicalscape,rùa 1 cao 15 rùa 2 cao 30
_thuc.tt_,15 mà v  h1 là đỉnh đá tới đầu rùa 300 nhìn kĩ chứ k là tưởng tới chân rùa300 
12345678901pna,đr3001 đr3302 lấy 21 ta được 2r30 r15
juntangshiya,đầu 15 sau 30
babiiblue05,xy300 xxy330 x30 y270
phuc.ngo4801,gọi rùa là x ta đc ptrinh x300330x xx330300 2x30 x15ko bt đúng ko
ender_2003,hình 2 nó tính từ đầu con rùa chứ ko phải tính từ mặt đất nên là 15 nha nhìn ko kĩ cứ tính từ mặt đất đi lên nên ra 30  chứ nó là 15 à
lunfa40,hình 1 rùa 15 đá 315 hình 2 rùa 30 đá 330
goodboyzreal,15
t.p.gi.nht.th.gi,t hỏi chatgtp r 30
nhh15012009,bài toán tổng hiệu c1
moutherfocker,quên tổng hiệu gì đó mà lấy bên trái chồng lên bên phải là thấy đá bằng 315 rồi tính rùa
boy123gdgggh,60 
dtnguyenvu12,bài toán tổng hiệu của lớp 4
tiende_trung_khanh,rùa  15
hoanganh71926,đơn giản đến mức các thánh phải dùng công thức
nguyenduy97,giải theo cách tính của hs lớp 4 dạng toán tổng hiệu đá th2315cm rùa 33031515cm
beallyoucanbe666,toán tổng hiệu của cấp 1
longngu572,15
kak6789,rùa 30 đá 330 nhé  hình 2 trừ hình 1 thì sẽ ra rùa  30  rùa 30300  đá 330
_kofyy.128,bài toán tổng hiệu lớp 3 nhé số bé tổng hiệu2
v.phat563,rùa 15cmtoán tổng hiệu cấp 1
cuba2805,hình 1  gọi rùa là x ta có pt x300330x 2x33030030  30  2  15 vậy ta có kết quả rùa 15
qq11121985,đá cao 315cm rùa thì tôi không biết 
user4711109594113,2 hình khác nhau nên có 2 đáp án các bác tranh luận gắt thếh1 rùa 30 hình 2 rùa 15 cứ thấy 15 với 30
sadmusic2360,bằng 15
.tiktok.com723,nghĩ đơn giản thôi đó là 30
baolovebar,cái này là toán tổng hiệu cấp 1
shin_73.qb,15
kyritos3,ảnh 2 chỉ cần lấy 330300
laphades,công thức là 1 chuyện hiểu lại là chuyện khác
truonganh1225,bài toán tổng hiệu
fahri_wahsa,270cm
cctv4769,bruhh toán cấp 1 trêu tau à bài tổng hiệu luôn mà 
obito0802,toán khi biết tổng hiệu của số lớn số bé
lordplagi,1 15 2 30 у кого ни так учите математику
pick_a_fun_username,its js 30 cm
pelmeshekchebures,так второе по сути легче
jlponce1107,no hace falta hacer ninguna operación la tortuga mide 30
boo5months,its 60
aineas79,picture 1 15cm picture 2 30cm
alex._207_,la roca 315 y la tortuga 15
slurpzinm,x  y  300 x  y  330 x  300  y 300 y  y  330 300  2y  330 2y  30 y 15
monstro301,rockturtle30  rockturtle 302 turtle turtle  15
abbbbbyrtji,300х330х 2х30 х15
removerdijk2005,15 cm this aint hard
little.silver.star,в первом черепаха 15 во втором 30 задача класса для второго не больше
xuanlox,no tiene solución porque es imposible que una tortuga no tiene un salto tan poderoso como para subirse a esa roca
user049716299,continua sendo 30
hakermakerhopa_2007,я не понимаю людей у которых на второй картинке черепаха 30 в обоих случаях она 15
venik0421,везде 30
eblan_392,везде 30 вы что 
blmbarce,its 15
juanpabloguerra805,el segundo es más fácil que el primero
hahanya0,xy330 x y 300   2y  30 y  15
gretzi08,how yall getting 15
alex_18198,черепаха 15 см гора 315
edoardoepi,15 easy
maykop6,60 см
abeliocid,la primera 15cm cada tortuga y la segunda 30cm cada una
tysonboss3828,1 x  y  300 2 x  y  y  330 330  300  30 yv 330 x  y  300
t0n1.69,30270300 and 3027030330 easy
dede_464,115 230
my.name.is.here7,330cm300cm30cm 30cm÷215cm the turtle in the first slide is 15cm
asafepires4,a primeira e 15 e a segunda e 30
water_pipee,fist 15 second 30
amadeusley,la tortuga mide 60
sodaice729,รูปแรก 15 รูปสอง 30
heheshkaa0,так это 15 вы что все
men.mandarin0,нету точного ответа есть предложение ответа а так это очень даже интересно
leon.ufnalewski,60
user6547495109924,มันก็30อยู่ดีป่ะมีเต่าอยู่ข้างล่างอีกตัวไม่ได้แปลว่าเต่าด้านบนจะเตี้ยลง
renza1098,slide 2 g usah dihitung lagi kan 12 berarti kura kura tinggi 2tinggi 1 30
erhannbozkurt,ölçüler aynı yerden başladığı için boy farkı ortada 30
antek.xd54,easy 15
kazak4730,рост черипахи 30см
wenbl,60 смотрите внимательно на стрелки она идёт до черепахи и не проходит сквозь
tiktok_anj___,gambar 1 tinggi batunya tuh 300cm nah dan gambar 2 kura kura nya diatasdan nambah 30cm jadi ya kura kura nya 30cmbener gakkalo salah koreksi
user6720928155544,1 30 2 30
xs_sarahh,o primeiro é trinta e o segundo 15
eraxxsyyl,челы учите математику будет 60см
13nu._,xy300 xy330 2x30 x15
adlane125,الاجابة السلحفات في كلتا الصورتين تساوي 30
a7jkp07,góra ma 315 a żółw 15
maxyloverr,30
person8425,1은 15 2는 30아님
_.phi.phi._,y300x yx330 on en déduit x 15 cm hauteur tortue y315 hauteur rocher
yahanna3010,en la primera 15 en la segunda 30
stelh_original,але люди если у вас черепаха 30 то значит в случае где будет черепаха на камне вообще 360 будет
danzigmetro,на обе 15
egorohzojfy,да почему 15 то
user11775571562771,it can be any number
tost7447578356,камень 270 черепаха 30
user1419462042063,вторая задача даже легче
wirshstafnm,seria 60 no
1stpizzalover,both are the same the starting point just shifts resulting in the rock being smaller in the second image
mars1447,não entendi nem oq é pra calcular
amiradamir1,rock 315 turtle 15
tut_ty_umer,кч300 кч330 кч300 кч30300 кчкч30 2ч30 ч15
jfjfhfntjfjrhfbfhfjfhrh,15
xbvgkgsnzhc,30 оно же по сути такое же
super_animeart3,15
adilzhan893,и там и там 30 получается
yfd_9366,في الصورة الاولى  ؟15 في الصورة الثانية ؟30
abdelmadjed_dz_19,15
j__2467,15 30
romeu_dog,15
nataeeee_s,300х330х хх330300 2х30 х 302 х15
monad_k,60
gotime565,หิน315 เต่า15
user372928696,черепаха 15
user11819818463170,и там и твм 15 люди
tasyga,скала 315 черепаха 15
merhoms,в обох 30
doxfrix,30
nicholas.souza,o primeiro é 15 e o segundo é 30
monika.manukyan22,300от головы черепахи до вершины камняхещё одна черепаха сверху330 300х330 х330300 х30рост черепахи чё сложного
heehora,15 30
farawy12,xy3001 xy3302 12  2y30  y15 x315 หิน  315 เต่า  15
casstiil,черепаха 30см
sigma.aura1000,a 30 b 40 c 69
petrushka_12_,1 300х330х 2х330300 2х30 х15
josemvx_,song name all around me majed remix  majed
dedhottabich,там чёртова под камнем а не на черепахе это означает что камень без черепахи 300 а с черепахой 330 33030030см черепаха
a4485rufjrj,15
user9204139380121,60 вы гении
mamkaeb5269,60см легкая задачка
gamerlexxd,ambos son 15 el segundo también porque en el primero mide 3 metros sin contar la parte donde está la tortuga si medimos de arriba pa abajo contando la tortuga de la primera son 15 centímetros que se
ange1225q,160 230
whiteorion123,итак начнем по теореме косинусов
nearly..na,в первом 15 второе мне лень
billl9337,160 230
cronado08,a resposta da primeira e 15 e da segunda e 30
megatronus60,15
lm_th3._best,30
gab00636,15
d052723,60
marcelkusio3,30
poetmatebal,1 30 2 15
itz.chwalek,15
arabebanihahah,так обе 15 вы чего
marius.909,the turtel is 15cm and the rock is also 15cm
neymar6725,2x300330 ×15
uchiha_emil,15 very easy
666batler999,рост черепахи 30 с низу черепаха рост не прибавляет 
mako._.129,15と30
__s0cr4m__,mide 15
deedster_zxc,мне лень
dipxii_qwx,1 15 2 15
cempaika,так че поменялось
atiaf_57,السلحفة _15 الحجره _315
pedroca8273,60
ahemyz,30
erhan_soylemez,i̇lk resimdeki kaplumbağa 15 cm ikinci resimdeki kaplumbağa 30 cm
ikaroaguilar,15cm obvio 
faka_foxy,1 15 2 15 15151530
diego54150,30
franciscotorres5440, por dios no es tan difícil es un sistema de ecuaciones lineales y los que supuestamente responden lo hacen mal 
airamgg03,mide 60
val_thecosplayer.08,30 for both
shpynia2018,1 3002х330 2х30 х15 2 300х330 х 30
p0drecortes,resposta 15
usa.worraphat.1,30
num_ayos,turtle 15  rock 315
yliia_oliinyk,1 черепаха 15 камінь 315 31515300 31515330 2 в обох каменях внизу стоїть черепаха  вона ні на що не впливає висота збільшується на 1 черепаху 30 см значить черепаха 2  30 см
titans710,60
danyelmorais6,30 não importa o tamanho da tartaruga o ponto chave sempre foi o chão com a altura da pedra
rambodonat,15 получается
hordeimperia,stone  turtle  300 stone  turtle  330 315  15  300 315  15  330 turtle  15
christian.flores0899,tortuga 15 
orarur,камень 300 черепаха 30 см спор закрыт
lakuriopaopa,1 300x330x 2x30 x15 거북이15cm 2 300x330xx x30 거북이30
anjo_86,rocay315cm tortugax15cm 300xy  xy330
zacep_v_rb,а что изменилось
adanlasheras,en la primera es 15 y en la segunda es 30
soeine91,1 60 2 30
la.leona40,la piedra mide 315 y la tortuga mide 15
cristianebarbo0,15
jorge_nionaldo,wey saque me de la duda pensé q era 30 pero la medida es desde la tortuga de abajo y ahora creo q es 15
ervayldzzz,60
sinanbekirozdemir.2,60
user1624473710686,60
aungaung11_12,15
_dildosh,скала 315см черепаха 15 поэтому если от черепахи до верхушки будет 300 а если плюсануть рост черепашки будет 330
_user301120,kayakap300 kayakap330 2kaya 630 1 kaya 315 kaplumbağa 15 olur
_mr.usman_,x  y  300 x  y  330 x300 y 300  y  y330 300  2y 330 2y  33030030 y  30215
patrickgarro508,60
ukeeveid0,1 15 2 30
framboise451,picture 1  15 cm picture 2  30 cm
alessandropinna108,la tartaruga è alta 15 cm
user124861400,60
csungule3,the 2nd one is easier 
kacpe329,30
user2054612092976,60
history_blogers9,в 1 отмеряют от высоты черепахито есть часть камня 300 во втором меряют высоту камня с высотой черепахи 330 высота черепахи 330300215потомучто условно во2кадре две высоты черепахи и частькамня
dedys711,от головы черепахи до конца камня 300 получается 300 х330х 2х330300 2х30 х15
kkk924614,300х330х 2х30 черепаха 15 в обоих у кого не так сочувствую
lopera1812,es 15 verdad 
strangersuniverse,330х3002х 3303002хх 30х 30
empanada._.3,la roca 270 y la tortuga 30
eziah36,15
syamsam03,15
x_bober_120fps_x,sinik7 кому букет цветочков  и колечко 
whigkh,на первом 15 на втором 30
teqilawq,15
thefault.joga,a tartaruga tem 15cm de altura
humble_pharmacist2,1st slide 15cm 2nd slide 30cm
sparta_18,la tortuga sigue midiendo 30 no
romb_official_rts,15 и 30
giuseppefiocca,ho letto i commenti e mi tocca dare la risposta15 è ovvio
sul001700,160 230
raffpizza,rt 300 r300t 2t330300 t30215
bone_judger,its definitely over average
drakoshazlyka,60
user3975411287558,30
agaevrovshan,15
gery2498,xy300 xy330 x yy330300 2y302 y15
user6155153600478,30÷215
amelianietomarin,15
user1296172203133,130 230
sinsolar,300x2x330  3x30 and x10
hopzen7,rock  turtle  300 rock  turtle  330  300  turtle  turtle  330  2turtle  30  turtle  15
user3508437927251,15 легко
arex510,0
uncharted_28,15
oumnorak,capture 1 answer15 capture 2 answer30
palinsek8eg,15 это не 2 варианта это две картинки для одной задачи
tim_chuchumbra,15 без уровнения
ria_vivaldi,30
notlittle91,1  черепашка 15 см 2 черепашка 30 см кто внимательный и учил математику сюда 
goncalo769,30
ptitbiscuit91640,15 cm easy
strukyt,both 30 beide 30
piotr2756,300330 300330 300 30
astro1.2_,30
erne_brizis8,15
a0vlm,30 см
lhenasimps,30
lukyy2821,30см
6kantif9,15 см
joshua99956,30
oscar.lobato.gaon,its 15
user8601900804912,а линейка для кого
filip.kuzmyk,15
daxor123,turtle is 60
mohammed012347,۱۵
kebababab3,30
football.player283,15
lquyen289,có ai nói h2 đá cao 300 cm đâu mà mấy ba tính ra rùa 30 hai hình là dữ kiện để tính con rùa
crazy.house_pubg,ответь 30  на первом кадре с черепахи считается сама скала 300см на втором кадре черепаха на скале 30030330 значит черепаха 30
ilienvgnw0l,ответ 60 сантиметров
1488zov1488,60
stant_drift_gg,60
spikushechka,15
imademonslayercat,first one 15cm and the second one 30cm
deft1zzz,15 is the only one true answer
yusika23.61,2not ansver
userwdqqgkzfwx,30 30
rastamouse632,1
fateme.sadat.mahm,330300÷215
bejjdj.hcy,30
mr_kot.12,30
sparrow_319_,1530
bro_soon_is_monday,60
dima_solominov,15 в обоих случаях
tourniquet_kh.13,15
a.ra.ara,xy300
nazarchik2847,30
leraa537647474,з ким вогник
ggg927492,270
